SMILES,res_fitness
C#CCc1cc(N)cc(C)c1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4ccc(-c5ccc(N)cc5)cc4N)cc(N)cc12)-c1c(N)ccc-3c1Nc1ccccc1NOc1cccc2c1Oc1cccc-2c1,492.05052245935303
CCCNc1ccc2c(-c3ccccc3-c3c(N)cccc3N)c1Nc1ccc-2c(NCc2cc(N)cc(C)c2Oc2c3cccc2-3)c1-c1ccc(N)c(Oc2cc(-c3cccc(N)c3-c3ccccc3)ccc2N)c1,491.6523358049544
CCNc1ccc(-c2cccc(-c3ccc(N)c(Oc4cc(-c5cccc(N)c5-c5ccccc5)ccc4N)c3)c2NCc2cc(N)cc(C)c2Oc2c3cccc2-3)c(-c2ccccc2-c2c(N)cccc2N)c1N,491.4146236658499
CCCNc1ccc(-c2cccc(-c3ccc(N)c(Oc4cc(-c5cccc(N)c5-c5ccc(N)cc5)ccc4N)c3)c2NCc2ccccc2Oc2c3cccc2-3)c(-c2ccccc2-c2c(N)cccc2N)c1NN,491.376643287812
CCCNc1ccc2c(-c3ccccc3-c3ccccc3N)c1-c1ccc3c(c1-3)Oc1c(C)cc(N)cc1CNc1c(-c3ccc(N)c(Oc4cc(-c5cccc(N)c5-c5ccc(N)cc5)ccc4N)c3)cc(N)cc1-2,491.16319964009756
CNCNc1cccc2c1N2Cc1cc(N)ccc1ONc1cccc(N)c1-c1ccccc1NCNc1ccc(N)cc1-c1cc2[nH]c1c(Oc1cc(-c3cccc(N)c3-c3ccc(N)cc3)ccc1N)c2N,491.11421793542627
CCCNc1ccc2c(-c3ccccc3-c3c(N)cccc3N)c1Nc1ccc-2cc1-c1ccc(N)c(Oc2cc(-c3cccc(N)c3-c3ccccc3)ccc2N)c1Cc1cc(N)cc(CN)c1Oc1c2cccc1-2,491.0223279192888
CCNc1ccc(-c2cc(N)cc(-c3ccc(N)c(Oc4cc(-c5cccc(N)c5-c5ccc(N)cc5)ccc4N)c3)c2NCc2cccc(C)c2Oc2c3cccc2-3)c(-c2ccccc2-c2ccccc2N)c1NN,490.94621717003105
CNc1ccc(ONc2cccc(N)c2-c2ccccc2N)c(CNc2c3cc(N)c(c2-c2c4ccc(Oc5cc(-c6cccc(N)c6-c6ccc(-c7c8cccc7-8)cc6)ccc5N)c2-4)Nc2cccc-3c2)c1,490.64355964370753
CCCNc1ccc(-c2cccc(-c3ccc(N)c(Oc4cc(-c5cccc(N)c5)ccc4N)c3)c2NCc2cc(N)cc(C)c2Oc2c3cccc2-3)c(-c2ccccc2-c2c(N)cccc2N)c1Nc1ccccc1,490.3345530910011
C#CCc1cc(N)cc(C)c1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4ccc(-c5ccccc5)cc4N)cc(N)cc12)-c1c(N)ccc-3c1NNc1cccc2c1N1c3cccc(c31)N2Nc1ccccc1,490.0895246225624
CCNNc1cc2ccc1-c1ccccc1-c1c(-c3ccccc3Nc3ccc4cc3-4)cccc1-c1ccccc1-c1ccc(N)c(Oc3cc(-c4cc(N)ccc4-c4ccc5c(c4)-c4cc-5ccc4N)ccc3N)c1-2,489.92632531641107
C#CCNc1ccc(N)cc1-c1ccc2c(c1)Oc1c(N)ccc(-c3cccc(N)c3-c3cc4c(N)cc3N(C)c3cccc-4c3)c1N2c1ccccc1Nc1ccc(ONc2cccc(N)c2-c2ccccc2)cc1,489.58178889591545
C=CCNNc1cc(-c2ccc(-c3ccc(N)c(Nc4ccccc4N)c3)cc2N)c2[nH]c3ccc4c(c3[nH]c3ccccc3c2c1)-c1ccc(N)c-4c1Nc1ccccc1NOc1ccccc1Nc1ccccc1,489.571378680021
CCc1cc(N)ccc1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4c(N)cc(-c5ccc(N)cc5)cc4-c4ccc(O)c(O)c4-c4ccccc4)cc(N)cc12)-c1c(N)ccc-3c1Nc1ccccc1N,489.4766238984255
